Name,val_auc,fcparams,convparams,params
 EP2-CNN-X-QCNNHybrid-JAX-1-1,0.726260543,538,20,558
 EP2-CNN-X-QCNNHybrid-JAX-1-2,0.751483738,538,39,577
EP2-CNN-X-QCNNHybrid-JAX-2-1,0.740766048,1050,40,1090
EP2-CNN-X-QCNNHybrid-JAX-2-2,0.706781566,1050,78,1128
EP2-CNN-X-QCNNHybrid-JAX-3-1,0.724054396,1562,50,1612
EP2-CNN-X-QCNNHybrid-JAX-3-2,0.725735307,1562,107,1669
EP2-CNN-X-QCNNHybrid-JAX-4-1,0.725895822,2074,70,2144
EP2-CNN-X-QCNNHybrid-JAX-4-2,0.742556334,2074,142,2216
