Name,test_auc,cparams,qparams,params
EP2-QCNNHybrid-Sparse-JAX-1-1,0.734019573,538,30,568
EP2-QCNNHybrid-Sparse-JAX-1-2,0.728384175,538,60,598
EP2-QCNNHybrid-Sparse-JAX-2-1,0.739698235,1050,60,1110
EP2-QCNNHybrid-Sparse-JAX-2-2,0.746360153,1050,120,1170
EP2-QCNNHybrid-Sparse-JAX-3-1,0.751804943,1562,90,1652
EP2-QCNNHybrid-Sparse-JAX-3-2,0.735852,1562,180,1742
EP2-QCNNHybrid-Sparse-JAX-4-1,0.73310527,2074,120,2194
EP2-QCNNHybrid-Sparse-JAX-4-2,0.740646123,2074,240,2314
